Full_Verse,First_Sadr,First_Ajz,Second_Sadr,Second_Ajz,Fifth_Verse,اسم الشاعر,نوع النص(فخر/هجاء/غزل/وصف),تصنيف النص دوبيت ام لا,عدد الأبيات
جيد يا برير ضقت النكور إت حي .. وكسر الهمبروك عيش السديرة الني .. سوقة الحدم العقدن قفيهن لي .. كتله البرمكي مع صباح الضي,جيد يا برير ضقت النكور إت حي,وكسر الهمبروك عيش السديرة الني,سوقة الحدم العقدن قفيهن لي,كتله البرمكي مع صباح الضي,,شغبة,وصف,نعم,2
ود العز برير ضرب النحاس ما بخاف .. وعندو الدكري البياخد تلاتة أخفاف .. حالف بالطلاق ما يفوت بنات عساف .. إلا الراس يفارق الجته واللكتاف,ود العز برير ضرب النحاس ما بخاف,وعندو الدكري البياخد تلاتة أخفاف,حالف بالطلاق ما يفوت بنات عساف,إلا الراس يفارق الجته واللكتاف,,شغبة,وصف,نعم,2
جملي في أم شديده قلدو وهدو .. والمال لي مساديرو القدم ودوا .. والطير يا سراحين الوجوه غدو .. والبجفل شناعو للبنات ودوا,جملي في أم شديده قلدو وهدو,والمال لي مساديرو القدم ودوا,والطير يا سراحين الوجوه غدو,والبجفل شناعو للبنات ودوا,,شغبة,وصف,نعم,2
اتلمت جهينة وطرطر أم هبود .. يحسبوه كتالنا بالحجر والعود .. أرجوهن صباحات الكواهله قعود .. فسراع شبعوا اللين من المترود,اتلمت جهينة وطرطر أم هبود,يحسبوه كتالنا بالحجر والعود,أرجوهن صباحات الكواهله قعود,فسراع شبعوا اللين من المترود,,شغبة,وصف,نعم,2
اليوم يا جهينة حدكن فتوه .. وسعيتولكن خيول درب النكور عستوه .. فارس السبعتين جيد اللقا ضقتوه .. كوسولكن سبيب ضنب الحصان اكتوه,اليوم يا جهينة حدكن فتوه,وسعيتولكن خيول درب النكور عستوه,فارس السبعتين جيد اللقا ضقتوه,كوسولكن سبيب ضنب الحصان اكتوه,,شغبة,وصف,نعم,2
محيناك يا لوح وكسرناك يا دوايه .. لهيج الحم أحسن من القرايه .. وقلبت الشد على اللفض التنايه .. ومقالبه البكار كبد السحايه,محيناك يا لوح وكسرناك يا دوايه,لهيج الحم أحسن من القرايه,وقلبت الشد على اللفض التنايه,ومقالبه البكار كبد السحايه,,شغبة,وصف,نعم,2
يا اب ضهرا متل فرنيبة الشراك .. ياعصار سبيب ضيلك على اللوراك .. العزبه بتكوشك وأم رهيط تبراك .. ربدات النعام فيها العجز مالاك,يا اب ضهرا متل فرنيبة الشراك,ياعصار سبيب ضيلك على اللوراك,العزبه بتكوشك وأم رهيط تبراك,ربدات النعام فيها العجز مالاك,,حسين,,نعم,2
ديلك ريره أم قلوت مكمن القيمان .. وداك حجر الصفية مقابل الغبشان .. وفوق حدبة كشيشه بقرقر الضهلان .. شدرات ود كوه فيهن ام قرقدا نديان,ديلك ريره أم قلوت مكمن القيمان,وداك حجر الصفية مقابل الغبشان,وفوق حدبة كشيشه بقرقر الضهلان,شدرات ود كوه فيهن ام قرقدا نديان,,حسين,,نعم,2
قول للمك عجيب ما عندنا ليك الات .. برادق ود بقيع والدكرى الكفات .. أكلنا العكه ونفطر على نبقات .. دقن نقارة البركات .. عرضوا اولاد كمال جوها الدبس قتات,قول للمك عجيب ما عندنا ليك الات,برادق ود بقيع والدكرى الكفات,أكلنا العكه ونفطر على نبقات,دقن نقارة البركات,,شغبة,,نعم,2
الزين ما بفسل والفسل ما بزين .. والجنس الرخيص ما بنفعو التخسين .. الدخل البطون ما بتقطعو السكين .. يا مرجان نعل ناس بت عجيب طيبين,الزين ما بفسل والفسل ما بزين,والجنس الرخيص ما بنفعو التخسين,الدخل البطون ما بتقطعو السكين,يا مرجان نعل ناس بت عجيب طيبين,,حسين,,نعم,2
ولدى مو دبادب عينة أم بشار .. صدر البرزم الفيه الحبر عشار .. شن بلد السنط غير الدباغ الحار .. جيد الما قالوا تخر الرماد النار,ولدى مو دبادب عينة أم بشار,صدر البرزم الفيه الحبر عشار,شن بلد السنط غير الدباغ الحار,جيد الما قالوا تخر الرماد النار,,شغبة,,نعم,2
دب بيوتا مافيهن أم كراب .. روسن قش قعورن في الوطى رتاب .. اهلي يا وليد نزلوا مزارق الطاب .. عز الناس أهلنا اللاخرين بتاب,دب بيوتا مافيهن أم كراب,روسن قش قعورن في الوطى رتاب,اهلي يا وليد نزلوا مزارق الطاب,عز الناس أهلنا اللاخرين بتاب,,شغبة,,نعم,2
الليله هبوب اهلي ملت نفسي .. ومن رطنى الضناقله واكتير هوسي .. فارقت الحوار الفي الشبك رفسي .. فارقت الخلفه المسارى والجمل رادي,الليله هبوب اهلي ملت نفسي,ومن رطنى الضناقله واكتير هوسي,فارقت الحوار الفي الشبك رفسي,فارقت الخلفه المسارى والجمل رادي,,شغبة,,نعم,2
حليل البركبوا التيس أب صريمه .. وحليل البنزلوا حدب أم قضيضيمه .. وحليل الجاهلن ما بدور تعليمه .. حليل البقطعوا الشك في العزيمه .. وأهلي المرغماب يادوبه ليهن ديمه,حليل البركبوا التيس أب صريمه,وحليل البنزلوا حدب أم قضيضيمه,وحليل الجاهلن ما بدور تعليمه,حليل البقطعوا الشك في العزيمه,,شغبة,,نعم,2
حليل البركبوا التيس البشارى .. وحليل الكمشوا الخلفة المسارى .. وحليل البلفحوا التوب العشارى .. وحليل الفي الكتال حاكو الهلالى,حليل البركبوا التيس البشارى,وحليل الكمشوا الخلفة المسارى,وحليل البلفحوا التوب العشارى,وحليل الفي الكتال حاكو الهلالى,,شغبة,,نعم,2
شغبة ماتلوموها في كلام الحر .. وطارياهن عكاكير البحر والبر .. أولاد اب زمام البركبو اللشقر .. الناس من خيالاتن جميع تنصر,شغبة ماتلوموها في كلام الحر,وطارياهن عكاكير البحر والبر,أولاد اب زمام البركبو اللشقر,الناس من خيالاتن جميع تنصر,,شغبة,,نعم,2
ادندح سحاب شغبه أب قماقما غر .. تسع أيام ليلو ونهارو بكر .. اسياد الخلى التحت السيول بدر .. اتعشو ال قوا ورقدوا الضعاف بالضر,ادندح سحاب شغبه أب قماقما غر,تسع أيام ليلو ونهارو بكر,اسياد الخلى التحت السيول بدر,اتعشو ال قوا ورقدوا الضعاف بالضر,,شغبة,,نعم,2
العيش في القراف والنار طفاها السيل .. واتعشوا ال قوا ورقدوا الضعاف بالميل .. قاموا لي العبيد جابو العمار بالكيل .. من جماما في مخاريق العقول هاديل,العيش في القراف والنار طفاها السيل,واتعشوا ال قوا ورقدوا الضعاف بالميل,قاموا لي العبيد جابو العمار بالكيل,من جماما في مخاريق العقول هاديل,,شغبة,,نعم,2
الليله على القبله بدا البحات .. والحم كجرن بيتن من النقاط .. خالف التر ورا الماصع جرن قاتات .. كاكا اركضت واتفالت النطاط .. وباروك القوايم في المواهل عاط,الليله على القبله بدا البحات,والحم كجرن بيتن من النقاط,خالف التر ورا الماصع جرن قاتات,كاكا اركضت واتفالت النطاط,,شغبة,,نعم,2
اول في زمان اللحراب .. نقعد في ضرى درق الجنا التياب .. اولاد امات قناعا مانطرن عياب .. بي زرق الحساده بكملوا الشياب,اول في زمان اللحراب,نقعد في ضرى درق الجنا التياب,اولاد امات قناعا مانطرن عياب,بي زرق الحساده بكملوا الشياب,,شغبة,,نعم,2
اول في زمان الحرب .. نقعد في ضراهن ما بنخاف السلب .. اولاد امات قناعا ما بنبح كلب .. بدعكوا على الحربه التريع القلب,اول في زمان الحرب,نقعد في ضراهن ما بنخاف السلب,اولاد امات قناعا ما بنبح كلب,بدعكوا على الحربه التريع القلب,,شغبة,,نعم,2
وكتا تجينا اللحراب .. بنكيل الحميسي وننفض البتاب .. بي زرق الحساده بنكمل الشياب .. ونرقد في ضرى درق الجنا التياب,وكتا تجينا اللحراب,بنكيل الحميسي وننفض البتاب,بي زرق الحساده بنكمل الشياب,ونرقد في ضرى درق الجنا التياب,,شغبة,فخر,نعم,2
